# key	value
soft_label	Egg Credits: {value} / {capacity}
soft_label_wallet	Egg Credits: {value}
pps_label	Egg Flow: {pps}/s
conveyor_label	Conveyor: {rate}/s | Queue {queue}
farm_stage	Farm Stage: {name}
prestige_label	Reputation Stars: {prestige} (Next Rebrand: +{next})
prestige_button_ready	Rebrand & Advance to Next Generation
prestige_button_locked	Rebrand & Advance
burst_button	Feed the Hens! (hold)
buy_prod	Feeding Efficiency ({cost} 🥚)
buy_cap	Coop Capacity ({cost} 🥚)
buy_feed	Feed Silo ({cost} 🥚)
buy_auto	Auto-Feeder System ({cost} 🥚){requirement}
buy_auto_requirement	 — Requires {stage}
promote_disabled	Stage Mastered
promote_button	Upgrade to {name} ({cost} 🥚)
promote	Next Stage
research_header	Innovation Lab — Research Points: {points}
research_header_title	Innovation Lab
research_prod_label	Feed Conversion R&D
research_cap_label	Modular Coops
research_auto_label	Drone Feeders
research_owned	{label} ✅
research_available	{label} ({cost} 🌟)
offline_title	Offline Egg Credits
offline_summary_title	While you were away…
offline_summary_body	Your farm produced {amount} at {pct}% passive efficiency. Feed to boost output!
hud_slot_d_economy_rate	Egg Flow: {value}/s
hud_slot_d_tooltip	Live production after comfort, power, and automation modifiers.
hud_slot_f_backlog_normal	Queue {count}
hud_slot_f_backlog_warning	Queue {count} ⚠
hud_slot_f_tooltip	Conveyor backlog shows how many shipments await packing.
hud_slot_f_tooltip_warning	Queue above {threshold} stalls automation. Check power or automation settings.
tooltip_power_normal	Power stable.
tooltip_power_warning	Power output dropping. Efficiency reduced.
tooltip_power_critical	Critical power! Systems shutting down soon.
tooltip_economy_normal	Economy steady.
tooltip_economy_warning	Throughput slowing. Market demand increasing.
tooltip_economy_critical	Economy stalled. Production halted.
tooltip_backlog_normal	Queues are flowing smoothly.
tooltip_backlog_warning	Backlog growing. Watch automation pacing.
tooltip_backlog_critical	Shipping blocked. Clear the queue to recover Egg Flow.
tooltip_conveyor_normal	Conveyor load nominal.
tooltip_conveyor_warning	Conveyor backlog rising.
tooltip_conveyor_critical	Conveyor jam risk — manual reset may be required.
capacity_bar_label	Storage: {value} / {capacity}
storage_label	Storage: {storage} / {capacity} ({percent}%)
storage_dump_message	Shipment sent! +{amount}
ship_now_button	Ship Now
ship_now_tooltip_ready	Ship now for {efficiency}% of stored credits (instant payout).
ship_now_tooltip_empty	Fill crates before shipping.
feed_bar_label	Feed Supply
feed_refilling	Refilling silo… {pct}%
feed_empty	Feed empty
feeding_now	Feeding… +{pps}/s
feed_hint_boost	+{pps}/s boost
settings_button	Settings
export_button	Copy Save
import_button	Paste Save
copy_diagnostics	Copy Diagnostics
close_button	Close
text_scale_label	Text Size
text_scale_100	100%
text_scale_110	110%
text_scale_125	125%
settings_title	Accessibility & Diagnostics
high_contrast_label	High Contrast UI
high_contrast_tooltip	Increases contrast for key interface elements
color_palette_label	Color Palette
color_palette_tooltip	Choose a color-safe palette for accessibility
color_palette_default	Default Palette
color_palette_deuteranopia	Deuteranopia Friendly
color_palette_protanopia	Protanopia Friendly
settings_visuals	Visual Effects
visuals_label	Visual Effects
visuals_feed_particles	Feed Particles
audio_alerts_label	Alert Sounds
audio_alerts_toggle	Power Alert Sounds
audio_alerts_tooltip	Play calm audio cues when the power grid dips into warning or critical levels.
reset_save_button	Reset Save
reset_save_dialog_title	Delete Save Data?
reset_save_dialog_body	This will delete your local save and restart the session. This cannot be undone.
reset_save_dialog_confirm	Delete Save
reset_save_dialog_cancel	Cancel
automation_panel_title	Automation
automation_panel_title_tooltip	Configure routines that auto-feed bursts or manage helpers.
automation_panel_open_button	Automation Panel
automation_panel_state_label	Automation state
automation_panel_toggle_label	Enable automation
automation_panel_toggle_tooltip	Pause or resume all automation routines.
automation_panel_slider_label	Auto-feed threshold
automation_panel_slider_hint	Trigger bursts when feed is above {percent}% capacity.
automation_panel_slider_value	{percent}%
automation_panel_target_label	Choose routine
automation_panel_close_button	Close
automation_info_unavailable	Automation service unavailable
automation_state_enabled	Automation enabled
automation_state_disabled	Automation paused
automation_state_power_limited	 — limited by power
automation_next_action	next in {seconds}s
automation_target_autoburst	Auto-feed bursts
automation_target_autoburst_tooltip	Automatically trigger Feed bursts when production dips below the sweet spot.
automation_target_manual	Manual cadence
automation_target_manual_tooltip	Stay hands-on. Automation will wait until re-enabled.
toast_tier_one_unlock	Tier I unlocked — conveyor efficiency boosted!
event_overcast_title	Overcast Day
event_overcast_body	Solar input drops below target levels. Reserve cells engaged to compensate.\nExpect temporary power fluctuations for one minute.
event_overcast_button_ack	Acknowledge
event_overcast_toast_end	Skies clearing — power returning to nominal levels.
event_bulk_order_title	Bulk Order Opportunity
event_bulk_order_body	A large client requests an expedited shipment.\nAccepting adds temporary strain to the conveyor queue but offers a bonus once fulfilled.
event_bulk_order_button_accept	Accept Order
event_bulk_order_button_decline	Decline
event_bulk_order_toast_accept	Bulk order accepted — conveyor load increased.
event_bulk_order_toast_complete	Bulk order completed — payment credited to Economy.
toast_upgrade_prod	Production +10%
toast_upgrade_cap	Storage +10%
toast_upgrade_feed_storage	Feed Tank +10
