service,tick_ms,pps,ci,active_cells,power_ratio,ci_delta,storage,feed_fraction,power_state,auto_active
environment,0.027,0.0,0.0,0.0,0.0,0.0,0.0,1.07795772930305,1.03138725090217,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03138725090217,0
economy,0.043,0.42452411986254,0.0,0.0,0.0,0.0,37.9894191465855,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07794325655323,1.03132570441453,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03132570441453,0
economy,0.031,0.42449878702225,0.0,0.0,0.0,0.0,38.0318690252877,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07792878270635,1.03126415326155,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03126415326155,0
economy,0.033,0.4244734522617,0.0,0.0,0.0,0.0,38.0743163705139,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07791430777828,1.03120259751074,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03120259751074,0
economy,0.03,0.42444811560865,0.0,0.0,0.0,0.0,38.1167611820748,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0778998317849,1.0311410372296,0
sandbox,0.642,0.42444811560865,0.58024856770336,259.0,1.03126415326155,0.0,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0311410372296,0
economy,0.036,0.42442277709089,0.0,0.0,0.0,0.0,38.1592034597839,1.0,0.0,0
